Titulo,Autor,Calificacion,Categoria,Portada,Ancho,Alto
Nothing To Envy,Barbara Demick,4.5,Biography,./imagenes/00090.jpg,141,220
Einstein,Walter Isaacson,4.0,Biography,./imagenes/00091.jpg,135,205
Fate is the Hunter,Ernest K. Gann,4.5,Biography,./imagenes/00092.jpg,143,220
Pep Confidential,Marti Perarnau,4.0,Biography,./imagenes/00093.jpg,147,220
The Note Through the Wire,Doug Gold,4.5,Biography,./imagenes/00094.jpg,144,220
13 Things Mentally Strong People Don't Do,Amy Morin,4.0,Business-Finance-Law,./imagenes/00095.jpg,146,220
David and Goliath,Malcolm Gladwell,4.0,Business-Finance-Law,./imagenes/00096.jpg,144,220
The Theory of Moral Sentiments,Adam Smith,4.0,Business-Finance-Law,./imagenes/00097.jpg,135,205
Getting Things Done,David Allen,0.0,Business-Finance-Law,./imagenes/00098.jpg,135,206
The Road to Serfdom,F. a. Hayek,4.0,Business-Finance-Law,./imagenes/00099.jpg,147,220
The Art of the Start 2.0,Guy Kawasaki,4.0,Business-Finance-Law,./imagenes/00100.jpg,149,220
Peopleware,Tom DeMarco,4.0,Business-Finance-Law,./imagenes/00101.jpg,151,220
Moneyball,Michael Lewis,4.5,Business-Finance-Law,./imagenes/00102.jpg,147,220
The Richest Man In Babylon,George S. Clason,4.5,Business-Finance-Law,./imagenes/00103.jpg,133,220
Quit Like a Millionaire,Kristy Shen,4.5,Business-Finance-Law,./imagenes/00104.jpg,146,220
Gamestorming,Dave Gray,4.0,Business-Finance-Law,./imagenes/00105.jpg,169,220
The Lean Startup,Eric Ries,4.0,Business-Finance-Law,./imagenes/00106.jpg,144,220
The First 20 Hours,Josh Kaufman,3.5,Business-Finance-Law,./imagenes/00107.jpg,145,220
The Economics of Inequality,Thomas Piketty,3.5,Business-Finance-Law,./imagenes/00108.jpg,147,220
This Time Is Different,Carmen M. Reinhart,4.0,Business-Finance-Law,./imagenes/00109.jpg,142,220
Lean In,Sheryl Sandberg,4.0,Business-Finance-Law,./imagenes/00110.jpg,140,220
Hacking Growth,Morgan Brown,4.0,Business-Finance-Law,./imagenes/00111.jpg,144,220
Thrive,Arianna Huffington,3.5,Business-Finance-Law,./imagenes/00112.jpg,77,132
The Black Swan: Second Edition,Nassim Nicholas Taleb,4.0,Business-Finance-Law,./imagenes/00113.jpg,143,220
Killers of the Flower Moon,David Grann,4.0,Business-Finance-Law,./imagenes/00114.jpg,144,220
Scaling Up,Verne Harnish,4.0,Business-Finance-Law,./imagenes/00115.jpg,146,220
The Book on Rental Property Investing,Brandon Turner,4.5,Business-Finance-Law,./imagenes/00116.jpg,147,220
AI Superpowers,Kai-Fu Lee,4.0,Business-Finance-Law,./imagenes/00117.jpg,146,220
Love Is a Mix Tape,Rob Sheffield,4.0,Business-Finance-Law,./imagenes/00118.jpg,142,220
Managing Oneself,Peter F. Drucker,4.0,Business-Finance-Law,./imagenes/00118.jpg,152,220
TED Talks,Chris Anderson,4.0,Business-Finance-Law,./imagenes/00119.jpg,144,220
This is Service Design Doing,Adam Lawrence,4.5,Business-Finance-Law,./imagenes/00120.jpg,180,145
Eat That Frog! 21 Great Ways to Stop Procrastinating and Get More Done in Less Time,Brian Tracy,4.0,Business-Finance-Law,./imagenes/00121.jpg,142,220
How to Fail at Almost Everything and Still Win Big,Scott Adams,4.0,Business-Finance-Law,./imagenes/00122.jpg,144,220
StrengthsFinder 2.0,Tom Rath,4.0,Business-Finance-Law,./imagenes/00123.jpg,160,202
Think and Grow Rich,Napoleon Hill,4.0,Business-Finance-Law,./imagenes/00124.jpg,137,205
Rich Dad Poor Dad,Robert T. Kiyosaki,4.0,Business-Finance-Law,./imagenes/00125.jpg,146,220
Hello World,Hannah Fry,4.0,Business-Finance-Law,./imagenes/00126.jpg,141,220
"The General Theory of Employment- Interest and Money",John Maynard Keynes,4.5,Business-Finance-Law,./imagenes/00127.jpg,140,220
The Speed of Trust,Stephen M. R. Covey,4.0,Business-Finance-Law,./imagenes/00128.jpg,143,207
Great by Choice,Jim Collins,4.0,Business-Finance-Law,./imagenes/00129.jpg,133,205
Profits Over People,Noam Chomsky,4.0,Business-Finance-Law,./imagenes/00130.jpg,147,220
The ABCs of Real Estate Investing,Ken McElroy,4.0,Business-Finance-Law,./imagenes/00131.jpg,148,220
The Richest Man in Babylon,George Samuel Clason,4.5,Business-Finance-Law,./imagenes/00132.jpg,137,205
The Midnight Gang,David Walliams,4.5,Childrens-Books,./imagenes/00133.jpg,137,220
Shatter Me,Tahereh Mafi,4.0,Childrens-Books,./imagenes/00134.jpg,147,220
Edwina the Emu,Sheena Knowles,4.0,Childrens-Books,./imagenes/00135.jpg,185,212
Good to Great,James Collins,4.0,Childrens-Books,./imagenes/00136.jpg,145,220
Corduroy,Don Freeman,4.5,Childrens-Books,./imagenes/00137.jpg,205,164
Of Mice and Men,John Steinbeck,4.0,Childrens-Books,./imagenes/00138.jpg,135,220
Now,Morris Gleitzman,4.0,Childrens-Books,./imagenes/00139.jpg,144,220
The Blood of Olympus (Heroes of Olympus Book 5),Rick Riordan,4.5,Childrens-Books,./imagenes/00140.jpg,143,220
The Upside of Unrequited,Becky Albertalli,4.0,Childrens-Books,./imagenes/00141.jpg,144,220
The Outsiders,S. E. Hinton,4.0,Childrens-Books,./imagenes/00142.jpg,144,220
The Twits,Roald Dahl,4.0,Childrens-Books,./imagenes/00143.jpg,142,220
Read Write Inc. Home: Phonics Flashcards,Ruth Miskin,4.5,Childrens-Books,./imagenes/00144.jpg,146,220
"Brown Bear- Brown Bear- What Do You See?",Eric Carle,4.0,Childrens-Books,./imagenes/00145.jpg,169,220
Famous Five: Five On A Treasure Island,Enid Blyton,4.0,Childrens-Books,./imagenes/00146.jpg,141,216
Mixed Up Fairy Tales,Hilary Robinson,4.5,Childrens-Books,./imagenes/00147.jpg,176,220
Dune,Frank Herbert,4.0,Childrens-Books,./imagenes/00148.jpg,143,220
Richard Scarry's A Day at the Airport,Richard Scarry,4.0,Childrens-Books,./imagenes/00149.jpg,201,205
My Dad,Anthony Browne,4.0,Childrens-Books,./imagenes/00150.jpg,180,220
Little Witch's Big Night,Deborah Hautzig,4.0,Childrens-Books,./imagenes/00151.jpg,146,220
Holes,Louis Sachar,4.0,Childrens-Books,./imagenes/00152.jpg,129,205
Dinosaur Sticker Activity Book,Albert G. Smith,0.0,Childrens-Books,./imagenes/00153.jpg,155,220
Giraffes Can't Dance,Giles Andreae,4.5,Childrens-Books,./imagenes/00154.jpg,173,220
A Storm Of Swords,George R. R. Martin,4.5,Childrens-Books,./imagenes/00155.jpg,134,220
Richard Scarry's Cars And Trucks,Richard Scarry,4.5,Childrens-Books,./imagenes/00156.jpg,171,171
Goodnight Moon,Margaret Wise Brown,4.5,Childrens-Books,./imagenes/00157.jpg,180,145
The Baby Sleep Solution,Lucy S. Wolfe,4.5,Childrens-Books,./imagenes/00158.jpg,125,220
Lost Thing,Shaun Tan,4.5,Childrens-Books,./imagenes/00159.jpg,166,220
That's Not My Bunny,Fiona Watt,4.0,Childrens-Books,./imagenes/00160.jpg,180,180
First Words Flash Cards,Brighter Child,4.0,Childrens-Books,./imagenes/00161.jpg,138,220
Press Here,Herve Tullet,4.5,Childrens-Books,./imagenes/00162.jpg,180,218
Goodnight Stories for Rebel Girls 2,Elena Favilli,4.5,Childrens-Books,./imagenes/00163.jpg,161,215
LEGO Make Your Own Movie,Pat Murphy,4.5,Childrens-Books,./imagenes/00164.jpg,180,176
The Pigeon Wants a Puppy!,Mo Willems,4.5,Childrens-Books,./imagenes/00165.jpg,180,180
A Bit Lost,Chris Haughton,4.0,Childrens-Books,./imagenes/00166.jpg,211,220
The Infernal Devices 1: Clockwork Angel,Cassandra Clare,4.5,Childrens-Books,./imagenes/00167.jpg,141,215
His Dark Materials,Philip Pullman,4.5,Childrens-Books,./imagenes/00168.jpg,181,173
Coraline,Neil Gaiman,4.0,Childrens-Books,./imagenes/00169.jpg,144,220
Harry Potter and the Prisoner of Azkaban,J. K. Rowling,4.5,Childrens-Books,./imagenes/00170.jpg,147,220
Harry Potter and the Philosopher's Stone - Slytherin Edition,J. K. Rowling,4.5,Childrens-Books,./imagenes/00171.jpg,124,193
Harry Potter and the Chamber of Secrets - Gryffindor Edition,J.K. Rowling,4.5,Childrens-Books,./imagenes/00172.jpg,116,173
Peppa Pig: Peppa and the Big Train: My First Storybook,Peppa Pig,4.0,Childrens-Books,./imagenes/00173.jpg,180,180
Diary of a Wimpy Kid,Jeff Kinney,4.5,Childrens-Books,./imagenes/00174.jpg,151,220
Gravity Falls: Journal 3,Alex Hirsch,4.5,Childrens-Books,./imagenes/00175.jpg,174,220
P Is for Pterodactyl,Raj Haldar,4.0,Childrens-Books,./imagenes/00176.jpg,200,155
How Full Is Your Bucket? For Kids,Tom Rath,4.5,Childrens-Books,./imagenes/00177.jpg,210,220
The Roald Dahl Audio Collection,Roald Dahl,4.5,Childrens-Books,./imagenes/00178.jpg,180,180
Frida Kahlo,Isabel Sanchez Vegara,4.0,Childrens-Books,./imagenes/00179.jpg,180,216
The Secret Garden,Frances Hodgson Burnett,4.0,Childrens-Books,./imagenes/00180.jpg,138,220
Mrs Dalloway,Virginia Woolf,4.0,Childrens-Books,./imagenes/00181.jpg,139,220
The Story of the Little Mole who knew it was none of his business,Werner Holzwarth,4.0,Childrens-Books,./imagenes/00182.jpg,180,130
New Moon,Stephenie Meyer,3.5,Childrens-Books,./imagenes/00183.jpg,138,220
Trash,Andy Mulligan,3.5,Childrens-Books,./imagenes/00184.jpg,145,220
"Blood- Sweat- and Pixels",Jason Schreier,4.5,Computing,./imagenes/00185.jpg,146,220
PRINCE2 Agile,AXELOS,3.5,Computing,./imagenes/00186.jpg,170,220
Refactoring,Martin Fowler,4.0,Computing,./imagenes/00187.jpg,168,220
The Emperor's New Mind,Roger Penrose,4.0,Computing,./imagenes/00188.jpg,145,198
Adobe Photoshop CS6 for Photographers,Martin Evening,4.0,Computing,./imagenes/00189.jpg,167,220
Lost and Founder,Rand Fishkin,4.5,Computing,./imagenes/00190.jpg,144,220
Speculative Everything,Anthony Dunne,4.0,Computing,./imagenes/00191.jpg,164,208
UML Distilled,Martin Fowler,4.0,Computing,./imagenes/00192.jpg,157,186
Agile Software Requirements,Dean Leffingwell,4.0,Computing,./imagenes/00193.jpg,167,220
Designing for Interaction,Dan Saffer,4.0,Computing,./imagenes/00194.jpg,160,205
How Google Tests Software,James A. Whittaker,4.0,Computing,./imagenes/00195.jpg,167,220
The Sketchnote Handbook,Mike Rohde,4.0,Computing,./imagenes/00196.jpg,171,220
Programming,Bjarne Stroustrup,4.0,Computing,./imagenes/00197.jpg,176,220
The Infernal City,Greg Keyes,3.5,Computing,./imagenes/00198.jpg,147,220
How to Build a Billion Dollar App,George Berkowski,4.0,Computing,./imagenes/00199.jpg,127,189
Head First Design Patterns,Eric Freeman,4.5,Computing,./imagenes/00200.jpg,191,220
Head First Objects-Oriented Analysis and Design,Brett D. McLaughlin,4.0,Computing,./imagenes/00201.jpg,191,220
But How Do It Know?,J Clark Scott,4.5,Computing,./imagenes/00202.jpg,147,220
Linux Kernel Development,Robert Love,4.5,Computing,./imagenes/00203.jpg,160,205
Confident Data Skills,Kirill Eremenko,4.5,Computing,./imagenes/00204.jpg,146,220
How Computers Work,Ron White,4.0,Computing,./imagenes/00205.jpg,176,220
C Programming Absolute Beginner's Guide,Greg Perry,4.0,Computing,./imagenes/00206.jpg,171,203
Learning Python with Raspberry Pi,Alex Bradbury,4.0,Computing,./imagenes/00207.jpg,175,220
ITIL Foundation Exam Study Guide,Liz Gallacher,4.0,Computing,./imagenes/00208.jpg,176,220
What Video Games Have to Teach Us About Learning and Literacy,James Paul Gee,4.0,Computing,./imagenes/00209.jpg,146,220
Deep Thinking,Garry Kasparov,4.0,Computing,./imagenes/00210.jpg,143,220
You Don't Know JS - Async & Performance,Kyle Simpson,4.5,Computing,./imagenes/00211.jpg,147,220
Destruction of the Overworld,Mark Cheverton,4.5,Computing,./imagenes/00212.jpg,147,220
Creative Selection,Ken Kocienda,4.0,Computing,./imagenes/00213.jpg,156,220
The End of Absence,Michael Harris,3.5,Computing,./imagenes/00214.jpg,144,220
"Hacking: The Art Of Exploitation- 2nd Edition",Jon Erickson,4.0,Computing,./imagenes/00215.jpg,168,220
Learn To Program With Scratch,Majed Marji,4.0,Computing,./imagenes/00216.jpg,167,220
Arduino Project Handbook,Mark Geddes,4.0,Computing,./imagenes/00217.jpg,167,220
Program or be Programmed,Douglas Rushkoff,3.5,Computing,./imagenes/00218.jpg,116,193
The Last Of Us: American Dreams,Faith Erin Hicks,4.0,Computing,./imagenes/00219.jpg,143,220
World Of Warcraft Chronicle Volume 2,Blizzard Entertainment,4.5,Computing,./imagenes/00220.jpg,163,220
Generative Design,Hartmut Bohnacker,4.5,Computing,./imagenes/00221.jpg,158,220
Specification by Example,Gojko Adzic,4.0,Computing,./imagenes/00222.jpg,177,220
Smart Girls GD Digital World,Carrie Anton,4.0,Computing,./imagenes/00223.jpg,127,220
SPSS Survival Manual,Julie Pallant,4.0,Computing,./imagenes/00224.jpg,180,207
Windows 10 in easy steps,Nick Vandome,4.5,Computing,./imagenes/00225.jpg,180,220
Pokemon Ultra Sun & Pokemon Ultra Moon: The Official Alola Region Strategy Guide,,4.5,Computing,./imagenes/00226.jpg,153,215
Watercolour for the Absolute Beginner,Alwyn Crawshaw,3.5,Crafts-Hobbies,./imagenes/00227.jpg,168,220
The Game Of Mah Jong,Max Robertson,2.5,Crafts-Hobbies,./imagenes/00228.jpg,180,188
Beat the Dealer,Edward Oakley Thorp,4.0,Crafts-Hobbies,./imagenes/00229.jpg,126,218
Finish This Book,Keri Smith,4.0,Crafts-Hobbies,./imagenes/00230.jpg,177,220
Beginner's Book of Modular Origami Polyhedra,Rona Gurkewitz,4.0,Crafts-Hobbies,./imagenes/00231.jpg,167,220
Creative Haven Art Nouveau Animal Designs Coloring Book,Marty Noble,4.5,Crafts-Hobbies,./imagenes/00232.jpg,165,220
The Workbench Guide to Jewelry Techniques,Anastasia Young,4.5,Crafts-Hobbies,./imagenes/00233.jpg,180,216
Colouring History: The Tudors,Natalie Grueninger,4.5,Crafts-Hobbies,./imagenes/00234.jpg,180,179
Anatomy for the Artist,Sarah Simblet,4.0,Crafts-Hobbies,./imagenes/00235.jpg,170,211
Johanna's Christmas,Johanna Basford,4.5,Crafts-Hobbies,./imagenes/00236.jpg,180,179
Made By Dad,Scott Bedford,4.0,Crafts-Hobbies,./imagenes/00237.jpg,176,220
The Backyard Blacksmith,Lorelei Sims,4.0,Crafts-Hobbies,./imagenes/00238.jpg,179,219
Amy Butlers Style Stitches,Amy Butler,4.0,Crafts-Hobbies,./imagenes/00239.jpg,180,188
Stan Lee's How To Draw Comics,Stan Lee,4.0,Crafts-Hobbies,./imagenes/00240.jpg,175,220
The Artist's Complete Guide To Drawing The Head,William Maughan,4.5,Crafts-Hobbies,./imagenes/00241.jpg,154,205
Color Choices,Stephen Quiller,4.0,Crafts-Hobbies,./imagenes/00242.jpg,177,220
How To Draw What You See,Rudy De Reyna,4.0,Crafts-Hobbies,./imagenes/00243.jpg,155,220
Drawing the Head and Hands,Andrew Loomis,4.0,Crafts-Hobbies,./imagenes/00244.jpg,154,205
Romantic Country,Eriy,4.5,Crafts-Hobbies,./imagenes/00245.jpg,180,179
Romantic Country: The Third Tale,Eriy,4.5,Crafts-Hobbies,./imagenes/00246.jpg,180,180
Kaffe Fassett's Bold Blooms:Quilts and Other Works Celebrating Fl,Kaffe Fassett,4.5,Crafts-Hobbies,./imagenes/00247.jpg,174,220
"lalylala's Beetles- Bugs and Butterflies",Lydia Tresselt,4.5,Crafts-Hobbies,./imagenes/00248.jpg,180,197
In Progress,Jessica Hische,4.5,Crafts-Hobbies,./imagenes/00249.jpg,144,212
Tunisian Crochet Stitch Guide,Kim Guzman,4.0,Crafts-Hobbies,./imagenes/00250.jpg,142,220
The Lost Expedition,Peer Sylvester,4.5,Crafts-Hobbies,./imagenes/00251.jpg,156,220
Crafting With Cat Hair,Kaori Tsutaya,4.0,Crafts-Hobbies,./imagenes/00252.jpg,193,198
The Weaver's Inkle Pattern Directory,Anne Dixon,4.5,Crafts-Hobbies,./imagenes/00253.jpg,179,220
Terrarium Craft,Amy Bryant Aiello,3.5,Crafts-Hobbies,./imagenes/00254.jpg,205,182
Free-Motion Quilting with Angela Walters,Angela Walters,4.5,Crafts-Hobbies,./imagenes/00255.jpg,176,220
Stunning Stitches for Crazy Quilts,K. Shaw,4.5,Crafts-Hobbies,./imagenes/00256.jpg,170,220
Dreaming in Colour,Kaffe Fassett,4.0,Crafts-Hobbies,./imagenes/00257.jpg,180,201
"Lena Corwin's Made by Hand:A Collection of Projects to Print- Sew",Lena Corwin,3.5,Crafts-Hobbies,./imagenes/00258.jpg,198,220
The Exquisite Book of Paper Flowers,Livia Cetti,4.0,Crafts-Hobbies,./imagenes/00259.jpg,180,209
Bead Embroidery Stitch Samples,Yasuko Endo,4.0,Crafts-Hobbies,./imagenes/00260.jpg,155,212
Macrame at Home,Natalie Ranae,4.5,Crafts-Hobbies,./imagenes/00261.jpg,180,203
Really Wild Tea Cosies,Loani Prior,4.5,Crafts-Hobbies,./imagenes/00262.jpg,205,205
Garden Mosaics Project Book,Celia Gregory,4.0,Crafts-Hobbies,./imagenes/00263.jpg,167,220
Play the Forest School Way,Jane Worroll,4.0,Crafts-Hobbies,./imagenes/00264.jpg,160,220
Sew!,Cath Kidston,4.0,Crafts-Hobbies,./imagenes/00265.jpg,159,205
Patch!,Cath Kidston,4.0,Crafts-Hobbies,./imagenes/00266.jpg,159,205
Billy Showell's Botanical Painting in Watercolour,Billy Showell,4.5,Crafts-Hobbies,./imagenes/00267.jpg,159,177
Handbook of Crochet Stitches,Betty Barnden,4.5,Crafts-Hobbies,./imagenes/00268.jpg,163,220
Complete Guide to Life Drawing,Gottfried Bammes,4.5,Crafts-Hobbies,./imagenes/00269.jpg,157,220
Love...Knitting,Val Pierce,5.0,Crafts-Hobbies,./imagenes/00270.jpg,178,210
Lathework,Harold Hall,4.0,Crafts-Hobbies,./imagenes/00271.jpg,155,220
Granny Squares,Susan Pinner,4.5,Crafts-Hobbies,./imagenes/00272.jpg,197,203
Really Relaxing Colouring Book 2,Elizabeth James,4.0,Crafts-Hobbies,./imagenes/00273.jpg,170,220
Hand Lettering 101,Chalkfulloflove,4.0,Crafts-Hobbies,./imagenes/00274.jpg,180,180
"F*ck Off- I'm Coloring! Swear Word Coloring Book",Adult Coloring Books,0.0,Crafts-Hobbies,./imagenes/00275.jpg,170,220
Mein Frühlingsspaziergang,Rita Berman,4.5,Crafts-Hobbies,./imagenes/00276.jpg,150,215
The Hidden Child,Camilla Läckberg,4.0,Crime-Thriller,./imagenes/00277.jpg,145,220
Foucault's Pendulum,Umberto Eco,4.0,Crime-Thriller,./imagenes/00278.jpg,143,220
The Name Of The Rose,Umberto Eco,4.0,Crime-Thriller,./imagenes/00279.jpg,130,200
Inherent Vice,Thomas Pynchon,3.5,Crime-Thriller,./imagenes/00280.jpg,141,220
